best_distance,best_fitness,mean_fitness,time,std_distance,crossover_type,elite_size,mutation_rate,mutation_type,population_size,selection_type,tournament_size
2319.384339126448,0.0004323221092484979,0.00029950118586661467,7.1162004470825195,120.825125325704,OX,20,0.01,scramble,250,rank,7
2491.2768077415535,0.0004016049797498668,0.000271274174227756,19.560165643692017,56.20095200319838,CX,2,0.05,scramble,150,rank,10
3195.424196005544,0.0003129475031637307,0.0002355359050406041,9.509286642074585,0.49181447860632943,OX,2,0.08,swap,200,rank,2
2111.563017079864,0.00047490009967422265,0.0003274329938611152,5.627078175544739,111.20887110424962,OX,20,0.03,scramble,200,rank,7
1048.953538796254,0.0009533570015130371,0.0009360702614240324,14.219406962394714,5.470645549718483,PMX,15,0.03,inversion,250,tournament,5
2507.581414647547,0.0003990009001841045,0.0003978251375095516,3.6923261880874634,57.56327190596289,CX,15,0.15,insert,30,roulette,10
2182.7428391057974,0.00046573222024765167,0.00045021374086200866,0.8199847936630249,278.70353059234344,PMX,20,0.08,inversion,30,roulette,7
3076.708378244251,0.0003250546520638149,0.00024311588127570548,11.360942244529724,30.514016917958088,OX,2,0.15,swap,200,tournament,10
2819.49633933936,0.00035532595308983956,0.00035061883370278066,9.150642395019531,120.83914646294443,CX,15,0.01,insert,50,roulette,10
2954.703846332831,0.00033844394486055813,0.00024441621468131945,30.204901695251465,3.7672705071461223,CX,5,0.1,swap,200,tournament,3
1731.6993059901474,0.0005800397879410027,0.0005737641591608694,43.71022653579712,115.32056034490131,CX,2,0.1,insert,200,rank,15
1336.3298593557945,0.0007483693878897011,0.0007279201640809547,3.679746389389038,11.048320150008294,OX,15,0.15,insert,150,rank,3
2506.1214586740643,0.000399226986922209,0.00028141801203831313,5.634270668029785,56.654837183752534,OX,5,0.01,insert,200,roulette,7
2289.416590815381,0.00043785956081662146,0.000437034593714152,49.54472732543945,113.01905184714815,CX,10,0.01,inversion,200,rank,15
3226.9687899457176,0.0003099668000468555,0.00023708892725544597,10.048596620559692,51.340818068189265,OX,5,0.15,swap,200,rank,3
2568.751592455776,0.00038929705704233514,0.0003870863985992992,0.4894486665725708,7.004341068376107,OX,20,0.01,insert,30,rank,2
